_timestamp,02_timing/step_time_s,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,_runtime,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,01_general/step,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,memory/used_memory_sys_MB,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,01_general/step_based_sps,memory/available_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits
1680785049.0,0.39397048499984066,,,,,7.134033203125,,0.005431726999972852,,,,,113,,,3840.0,,0.3591382390000035,2.3819999341867515e-06,,,,,232,0.0001,119.0,0.0006812120000176947,,,,,,,0.024707535999937136,81.2243587232504,,,,0.004009388999975272,,0.0,,,
1680785049.0,,,5.0,74871.0,10.625,,1.2959999999999923,,1454.0,0.0,2.654208,22875.50464,113,12.8,617.0,,,,,0.6419999999998254,13.625000000000002,0.0,7.625,233,,,,140758.0,795.01312,3490.295808,247.0,0.0122448105411668,33.49416457312815,,,27513.769984,3320.598528,3258.417152,,0.005000000000000782,,91743.0,0.0,0.027630542532400923
1680785050.0,0.39799383399986255,,,,,7.2120361328125,,0.005842969000013909,,,,,114,,,3872.0,,0.3615682710000101,2.636999965943687e-06,,,,,234,0.0001,120.0,0.000686134999909882,,,,,,,0.025459503999968547,80.4032556946876,,,,0.004434317999994164,,0.0,,,
1680785050.0,,,5.0,75771.0,10.625,,1.3079999999999927,0.0055547200000773955,1466.0,0.0,2.654208,22875.50464,114,12.8,626.0,,,,,0.6519999999991342,13.5,0.0,7.75,235,,,0.0006775010000410475,142197.0,812.249088,3488.288768,249.0,0.036753606964720055,38.51979006412594,0.025461049000000457,,27515.817984,3320.598528,3275.65312,,0.005000000000000782,,92672.0,0.0,0.03882737819326506
1680785051.0,0.3952945470000486,,,,,7.164306640625,,,,,,,115,,,3904.0,,0.3590110369999593,2.1549999473791104e-06,,,,,236,0.0001,121.0,,,,,,,,,80.95229302517058,,,,0.004588085000023057,,0.0,,,
1680785051.0,,,5.0,76416.0,10.625,,1.3199999999999932,0.005350288000045111,1476.0,0.0,2.654208,22875.50464,115,12.9,628.0,,,,,0.6529999999993379,13.5,0.0,7.75,237,,,0.000785634000067148,143518.0,812.249088,3489.472512,251.0,0.008171075071206785,44.78210357281629,0.02427593100003378,,27495.354368,3320.598528,3275.65312,,0.005000000000000782,,93565.0,0.0,0.03324286986512366
1680785052.0,0.39707188400029736,,,,,7.24462890625,,,,,,,116,,,3936.0,,0.3621295780000082,2.1430000742839184e-06,,,,,238,0.0001,122.0,,,,,,,,,80.58994174459362,,,,0.004528310000068814,,0.0,,,
1680785052.0,,,5.0,76936.0,10.625,,1.328000000000003,0.005418232000010903,1488.0,0.0,2.654208,22875.50464,116,12.9,634.0,,,0.35942979100002503,2.4160000293704798e-06,0.6589999999996508,13.5,0.0,7.75,239,,,0.0008870249999972657,144571.0,812.249088,3489.656832,255.0,0.08988541687546478,25.298770867580462,0.025140954999983478,,27495.170048,3320.598528,3275.65312,,0.005000000000000782,,94246.0,0.0,0.026972008969584113
1680785052.0,0.395514640999977,,,,,7.063720703125,,,,,,,116,,,3968.0,,,,,,,,240,0.0001,123.0,,,,,,,,,80.90724509994021,,,,0.004636221999930967,,0.0,,,
1680785053.0,,,5.0,77533.0,10.625,,1.3400000000000034,0.005235004000041954,1499.0,0.0,2.654208,22875.50464,117,12.9,636.0,,,0.35986903599996367,4.9840000428957865e-06,0.6599999999998545,13.5,0.0,7.75,241,,,0.000736824999989949,145667.0,812.249088,3492.10624,257.0,0.008171932090999283,30.91376471665699,0.02470348899998953,,27492.724736,3320.598528,3275.65312,,0.005000000000000782,,94937.0,0.0,0.02252069567169784
