04_peers/peer_1_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/undershot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,_step,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos
2.0,2,0.0,,705.5848436743153,35.34,7712,98,156,,3,0,,0.0,10.0,233.17,2272.0,7836,2.0,2.0,,234.39,2336.0,,705.5848436743153,237.33,1680694571.0,,2272.0,,0.0
2.0,2,0.0,,698.4061705284355,34.51,8544,99,157,,3,0,,0.0,10.0,232.79,2560.0,8664,2.0,2.0,,235.71,2592.0,,698.4061705284355,237.08,1680694572.0,,2560.0,,0.0
2.0,2,0.0,,702.0985464427895,33.12,9376,100,158,,3,0,,0.0,10.0,232.67,2848.0,9512,2.0,2.0,,228.94,2880.0,,702.0985464427895,236.8,1680694573.0,,2816.0,,0.0
2.0,2,0.0,,703.0939468290454,31.87,10240,101,160,,3,0,,0.0,10.0,232.56,3104.0,10357,2.0,2.0,,232.21,3168.0,,703.0939468290454,237.33,1680694575.0,,3104.0,,0.0
2.0,2,0.0,,703.1237133835016,30.67,11104,102,161,,3,0,,0.0,10.0,232.85,3392.0,11200,2.0,2.0,,233.3,3456.0,,703.1237133835016,236.94,1680694576.0,,3392.0,,0.0
2.0,2,0.0,,703.8804678156836,29.44,11936,103,162,,3,0,,0.0,10.0,232.99,3680.0,12046,2.0,2.0,,233.37,3744.0,,703.8804678156836,236.77,1680694577.0,,3680.0,,0.0
2.0,2,0.0,,701.6973737937703,28.34,12736,104,163,,3,0,,0.0,10.0,233.11,3968.0,12882,2.0,2.0,,233.98,4032.0,,701.6973737937703,236.79,1680694578.0,,3936.0,,0.0
2.0,2,0.0,,699.4354976168604,27.24,13600,105,164,,3,0,,0.0,10.0,233.28,4224.0,13716,2.0,2.0,,234.15,4288.0,,699.4354976168604,234.26,1680694579.0,,4224.0,,0.0
2.0,2,0.0,,692.4840256465585,26.32,14464,106,166,,3,0,,0.0,10.0,233.12,4512.0,14540,2.0,2.0,,234.03,4576.0,,692.4840256465585,232.29,1680694581.0,,4512.0,,0.0
2.0,2,0.0,,696.8346814754477,24.96,15232,107,167,,3,0,,0.0,10.0,233.2,4800.0,15378,2.0,2.0,,227.23,4864.0,,696.8346814754477,232.06,1680694582.0,,4800.0,,0.0
