04_peers/peer_1_epoch,03_hivemind/num_clients,_step,_timestamp,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples
3.0,0,88,1680690550.0,3,,19.19,364.35,728.5279972165165,152,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,7.68,2402
3.0,0,89,1680690551.0,3,,18.0,364.35,728.5279972165165,153,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,7.2,3270
3.0,0,90,1680690555.0,3,,13.97,364.35,728.5279972165165,157,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,5.59,6206
3.0,0,91,1680690556.0,3,,12.94,364.35,728.5279972165165,158,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,5.18,6953
3.0,0,92,1680690557.0,3,,11.92,364.35,728.5279972165165,159,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,4.77,7697
3.0,0,93,1680690558.0,3,,10.9,364.35,728.5279972165165,160,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,4.36,8440
3.0,0,94,1680690559.0,3,,9.88,364.35,728.5279972165165,161,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,3.95,9187
3.0,0,95,1680690560.0,3,,8.86,364.35,728.5279972165165,162,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,3.54,9931
3.0,0,96,1680690561.0,3,,7.84,364.35,728.5279972165165,163,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,3.13,10675
3.0,0,97,1680690562.0,3,,6.82,364.35,728.5279972165165,164,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,2.73,11418
3.0,0,98,1680690563.0,3,,5.79,364.35,728.5279972165165,165,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,2.32,12163
3.0,0,99,1680690564.0,3,,4.77,364.35,728.5279972165165,166,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,1.91,12909
3.0,0,100,1680690565.0,3,,3.75,364.35,728.5279972165165,167,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,1.5,13654
3.0,0,101,1680690566.0,3,,2.73,364.35,728.5279972165165,168,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,1.09,14398
3.0,0,102,1680690567.0,3,,1.71,364.35,728.5279972165165,169,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.68,15141
3.0,0,103,1680690568.0,3,,0.69,364.35,728.5279972165165,170,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,15884
3.0,0,104,1680690569.0,3,,0.0,364.35,728.5279972165165,171,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,16626
3.0,0,105,1680690570.0,3,,0.0,364.35,728.5279972165165,172,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,17368
3.0,0,106,1680690571.0,3,,0.0,364.35,728.5279972165165,173,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,18110
3.0,0,107,1680690572.0,3,,0.0,364.35,728.5279972165165,174,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,18852
3.0,0,108,1680690573.0,3,,0.0,364.35,728.5279972165165,175,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,19595
3.0,0,109,1680690574.0,3,,0.0,364.35,728.5279972165165,176,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,20337
3.0,0,110,1680690575.0,3,,0.0,364.35,728.5279972165165,177,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,21077
3.0,0,111,1680690576.0,3,,0.0,364.35,728.5279972165165,178,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,21820
3.0,0,112,1680690577.0,3,,0.0,364.35,728.5279972165165,179,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,22561
3.0,0,113,1680690578.0,3,,0.0,364.35,728.5279972165165,180,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,23305
3.0,0,114,1680690579.0,3,,0.0,364.35,728.5279972165165,181,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,24046
3.0,0,115,1680690581.0,3,,0.0,364.35,728.5279972165165,183,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,24787
3.0,0,116,1680690582.0,3,,0.0,364.35,728.5279972165165,184,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,25529
3.0,0,117,1680690583.0,3,,0.0,364.35,728.5279972165165,185,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,26268
3.0,0,118,1680690584.0,3,,0.0,364.35,728.5279972165165,186,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,27012
3.0,0,119,1680690585.0,3,,0.0,364.35,728.5279972165165,187,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,27755
3.0,0,120,1680690586.0,3,,0.0,364.35,728.5279972165165,188,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,28499
3.0,0,121,1680690587.0,3,,0.0,364.35,728.5279972165165,189,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,29243
3.0,0,122,1680690588.0,3,,0.0,364.35,728.5279972165165,190,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,29988
3.0,0,123,1680690589.0,3,,0.0,364.35,728.5279972165165,191,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,30733
3.0,0,124,1680690590.0,3,,0.0,364.35,728.5279972165165,192,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,31476
3.0,0,125,1680690591.0,3,,0.0,364.35,728.5279972165165,193,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,32218
3.0,0,126,1680690592.0,3,,0.0,364.35,728.5279972165165,194,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,32963
3.0,0,127,1680690593.0,3,,0.0,364.35,728.5279972165165,195,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,33705
3.0,0,128,1680690594.0,3,,0.0,364.35,728.5279972165165,196,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,34448
3.0,0,129,1680690595.0,3,,0.0,364.35,728.5279972165165,197,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,35191
3.0,0,130,1680690596.0,3,,0.0,364.35,728.5279972165165,198,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,35933
3.0,0,131,1680690597.0,3,,0.0,364.35,728.5279972165165,199,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,36676
3.0,0,132,1680690598.0,3,,0.0,364.35,728.5279972165165,200,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,37417
3.0,0,133,1680690599.0,3,,0.0,364.35,728.5279972165165,201,,0.0,0.0,0,2,,,,0.0,,3.0,,364.18,0.0,728.5279972165165,0.5,38160
