03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_step,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,_runtime,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
1,,656.3938959470323,1680693190.0,1.0,1.0,,0.0,,,16128.0,0.0,16416.0,0.5,2,0,,,656.3938959470323,86,0.0,33357,148,32736,362.22,,361.76
1,,656.3938959470323,1680693192.0,1.0,1.0,,0.0,,,16256.0,0.0,16480.0,0.5,2,0,,,656.3938959470323,87,0.0,34137,150,32736,294.89,,361.5
1,,656.3938959470323,1680693193.0,1.0,1.0,,0.0,,,16256.0,0.0,16480.0,0.5,2,0,,,656.3938959470323,88,0.0,34921,151,32736,294.89,,361.5
1,,656.3938959470323,1680693194.0,1.0,1.0,,0.0,,,16256.0,0.0,16480.0,0.5,2,0,,,656.3938959470323,89,0.0,35698,152,32736,294.89,,361.5
1,,656.3938959470323,1680693195.0,1.0,1.0,,0.0,,,16256.0,0.0,16480.0,0.5,2,0,,,656.3938959470323,90,0.0,36480,153,32736,294.89,,361.5
2,,673.8619450901858,1680693196.0,1.0,1.0,,0.0,,,16256.0,48.37,16480.0,10.0,2,0,,,673.8619450901858,91,0.0,173,154,64,294.89,,361.5
2,0.0,679.1697558182507,1680693198.0,2.0,2.0,2.0,0.0,612.0348991625723,65216.0,32.0,46.86,32.0,10.0,2,0,0.0,32736.0,679.1697558182507,92,0.0,942,156,832,306.19,53.487145985942334,367.67
2,,710.3219135866207,1680693199.0,2.0,2.0,,0.0,,,416.0,43.59,416.0,10.0,2,0,,,710.3219135866207,93,0.0,1806,157,1600,331.16,,348.01
2,,679.4605539835269,1680693200.0,2.0,2.0,,0.0,,,864.0,44.51,736.0,10.0,2,0,,,679.4605539835269,94,0.0,2525,158,2432,351.36,,358.96
2,,713.3071468770815,1680693201.0,2.0,2.0,,0.0,,,1280.0,41.19,1152.0,10.0,2,0,,,713.3071468770815,95,0.0,3390,159,3296,318.55,,360.92
