memory/used_memory_sys_MB,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,01_general/lr,03_hivemind/global_epoch,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,memory/available_memory_sys_MB,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,02_timing/backward_time_s,cpu/logical_core_count,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,02_timing/opt_step_time_s,process/voluntary_proc_ctx_switches,_step,02_timing/dataload_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,01_general/locally_processed_samples
10089.71776,,3176936.0,,90.67601945565131,6782.087168,,,34595.34848,6.4,2.0,0.0,,197540.622336,2.8279999999999887,2453.577728,4832.0,0.0,2.719744,,0.018065933999878325,0.0009999999999998899,0.8689999999999714,0.0,0.016346336781251778,276,0.14402064700016126,,4000173.0,1418.0,7220.600832,1268155.0,2.133835478434545,1681395613.0,,0.04031288299984226,6432.0,571,,2.0666666666666664,0.0007448020000992983,0.0033582049995857233,3.833333333333333,1.633333333333333,,
,,,0.0,,,0.0001,2.0,,,,,7.2674560546875,,,,,,,296.0,,,,,,276,,,,,,,,1681395613.0,0.2095946639997237,,,572,0.00309219300015684,,,,,,9.0,9481.0
,,,0.0,,,0.0001,2.0,,,,,7.0670166015625,,,,,,,297.0,0.018112912999640685,,,,,276,0.1440301580000778,,,,,,,1681395613.0,0.20923793299971294,0.03997577599966462,,573,0.0033776039999793284,,0.00047655900016252417,0.0032649230001879914,,,9.0,9513.0
,,,0.0,,,0.0001,2.0,,,,,7.433349609375,,,,,,,298.0,0.01805406799985576,,,,,276,0.1442559130000518,,,,,,,1681395613.0,0.20894306200034407,0.04010005000009187,,574,0.0028698880000774807,,0.00047345600023618317,0.003189687000030972,,,9.0,9545.0
10091.229184,,3183620.0,,95.59521728288632,6782.087168,,,34595.34848,6.4,2.0,0.0,,197539.500032,2.843999999999994,2453.577728,4833.0,0.0,2.719744,,0.017838728000242554,0.0009999999999998899,0.8700000000000045,0.0,0.016345010967340385,277,0.1447315929999604,,4004526.0,1422.0,7220.600832,1272692.0,2.377257342901684,1681395614.0,,0.04037279200019839,6467.0,575,,2.0666666666666664,0.0004993520001335128,0.0032597110002825502,3.833333333333333,1.633333333333333,,
,,,0.0,,,0.0001,2.0,,,,,7.1376953125,,,,,,,299.0,,,,,,277,,,,,,,,1681395614.0,0.20970851600077367,,,576,0.0030063399999562535,,,,,,9.0,9577.0
,,,0.0,,,0.0001,2.0,,,,,7.200439453125,,,,,,,300.0,0.018276803999924596,,,,,277,0.14372787199999948,,,,,,,1681395614.0,0.20955461499988814,0.040528411000195774,,577,0.0033294390000264684,,0.0004983859998901607,0.0031937029998516664,,,9.0,9609.0
,,,0.0,,,0.0001,2.0,,,,,7.2412109375,,,,,,,301.0,0.01797054600001502,,,,,277,0.14354282700014664,,,,,,,1681395614.0,0.20907528499992623,0.04060503399978188,,578,0.003114660999926855,,0.0005080299997644033,0.003334187000291422,,,9.0,9641.0
10086.203392,,3191148.0,,84.21475128954522,6782.087168,,,34595.34848,6.4,2.0,0.0,,197544.210432,2.86399999999999,2453.577728,4833.0,0.0,2.719744,,0.01985606500011272,0.0009999999999998899,0.8729999999999905,0.0,0.09398361190601069,278,0.14313612599971748,,4010042.0,1429.0,7220.600832,1277958.0,3.047324440827998,1681395615.0,,,6546.0,579,,2.1,0.00048273399988829624,0.003234087999771873,3.8,1.633333333333333,,
,,,0.0,,,0.0001,2.0,,,,,7.22119140625,,,,,,,302.0,,,,,,278,,,,,,,,1681395615.0,0.2104218859994944,0.04049448800014943,,580,0.0032183849998546066,,,,,,9.0,9673.0
,,,0.0,,,0.0001,2.0,,,,,7.20361328125,,,,,,,303.0,0.01858704599999328,,,,,278,0.1424792930001786,,,,,,,1681395615.0,0.20812155800058463,0.0399989640000058,,581,0.0032873170002858387,,0.0005448050001177762,0.0032241330000033486,,,9.0,9705.0
,,,0.0,,,0.0001,2.0,,,,,7.256591796875,,,,,,,304.0,0.01841585300007864,,,,,279,0.14377783000009003,,,,,,,1681395616.0,0.209048556000198,0.04005148200030817,,582,0.0028646170003412408,,0.0004885649996140273,0.0034502089997658913,,,9.0,9737.0
10085.588992,,3196875.0,,70.43955105274648,6782.087168,,,34595.34848,6.4,2.0,0.0,,197545.238528,2.8840000000000003,2453.577728,4833.0,0.0,2.719744,,0.018178072000409884,0.0009999999999998899,0.8739999999999668,0.0,0.01634501097459903,279,,,4013571.0,1433.0,7220.600832,1281519.0,2.357097431920302,1681395616.0,,,6621.0,583,,2.1,0.0005283380000946636,0.0032698700001674297,3.8,1.633333333333333,,
,,,0.0,,,0.0001,2.0,,,,,7.488525390625,,,,,,,305.0,,,,,,279,0.14538942199988014,,,,,,,1681395616.0,0.21065685400071743,0.04019361900009244,,584,0.003097533000072872,,,,,,9.0,9769.0
