04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
2.0,,0.0,,92.3,184.6069371247027,2,10.0,2,,,38.86,1019,1680687879.0,,0,0.0,384.0,384.0,2.0,,88,960,184.6069371247027,147,,92.7
2.0,,0.0,,92.1,184.13467913090778,2,10.0,2,,,37.78,1236,1680687880.0,,0,0.0,480.0,480.0,2.0,,89,1216,184.13467913090778,148,,92.51
2.0,,0.0,,91.9,183.91432026476286,2,10.0,2,,,36.63,1454,1680687881.0,,0,0.0,608.0,608.0,2.0,,90,1408,183.91432026476286,149,,92.23
2.0,,0.0,,91.79,183.6704292405282,2,10.0,2,,,35.5,1672,1680687883.0,,0,0.0,704.0,704.0,2.0,,91,1600,183.6704292405282,151,,92.13
2.0,,0.0,,91.72,183.53558095441463,2,10.0,2,,,34.34,1890,1680687884.0,,0,0.0,800.0,800.0,2.0,,92,1856,183.53558095441463,152,,91.95
2.0,,0.0,,91.66,183.45502608582422,2,10.0,2,,,33.17,2108,1680687885.0,,0,0.0,928.0,928.0,2.0,,93,2048,183.45502608582422,153,,91.87
2.0,,0.0,,91.61,183.35802892246016,2,10.0,2,,,31.99,2326,1680687886.0,,0,0.0,1024.0,1024.0,2.0,,94,2304,183.35802892246016,154,,91.84
2.0,,0.0,,91.59,183.24578918161018,2,10.0,2,,,30.82,2544,1680687887.0,,0,0.0,1152.0,1152.0,2.0,,95,2496,183.24578918161018,155,,91.77
2.0,,0.0,,91.59,183.07918952086536,2,10.0,2,,,29.66,2761,1680687889.0,,0,0.0,1248.0,1248.0,2.0,,96,2688,183.07918952086536,157,,91.65
2.0,,0.0,,91.5,182.9863354706054,2,10.0,2,,,28.49,2978,1680687890.0,,0,0.0,1344.0,1344.0,2.0,,97,2944,182.9863354706054,158,,91.58
2.0,,0.0,,91.48,183.0153845675797,2,10.0,2,,,27.29,3197,1680687891.0,,0,0.0,1472.0,1472.0,2.0,,98,3136,183.0153845675797,159,,91.5
2.0,,0.0,,91.49,182.97625031520286,2,10.0,2,,,26.11,3414,1680687892.0,,0,0.0,1568.0,1568.0,2.0,,99,3392,182.97625031520286,160,,91.52
2.0,,0.0,,91.45,182.91408630526507,2,9.97,2,,,24.94,3631,1680687893.0,,0,0.0,1696.0,1696.0,2.0,,100,3584,182.91408630526507,161,,91.53
2.0,,0.0,,91.43,182.8108736614137,2,9.5,2,,,23.76,3849,1680687895.0,,0,0.0,1792.0,1792.0,2.0,,101,3776,182.8108736614137,163,,91.48
2.0,,0.0,,91.37,182.71795555523954,2,9.04,2,,,22.59,4064,1680687896.0,,0,0.0,1888.0,1888.0,2.0,,102,4032,182.71795555523954,164,,91.44
2.0,,0.0,,91.28,182.71241879063712,2,8.56,2,,,21.4,4282,1680687897.0,,0,0.0,2016.0,2016.0,2.0,,103,4224,182.71241879063712,165,,91.44
2.0,,0.0,,91.35,182.5663350504629,2,8.09,2,,,20.23,4498,1680687898.0,,0,0.0,2112.0,2112.0,2.0,,104,4448,182.5663350504629,166,,91.37
2.0,,0.0,,91.3,182.45459773184245,2,7.62,2,,,19.06,4714,1680687899.0,,0,0.0,2208.0,2240.0,2.0,,105,4672,182.45459773184245,167,,91.27
2.0,,0.0,,91.21,182.30579975948442,2,7.16,2,,,17.89,4930,1680687900.0,,0,0.0,2336.0,2336.0,2.0,,106,4864,182.30579975948442,168,,91.25
2.0,,0.0,,91.16,182.31890015140186,2,6.68,2,,,16.7,5148,1680687902.0,,0,0.0,2432.0,2432.0,2.0,,107,5120,182.31890015140186,170,,91.15
2.0,,0.0,,91.14,182.2391305856041,2,6.21,2,,,15.52,5364,1680687903.0,,0,0.0,2560.0,2560.0,2.0,,108,5312,182.2391305856041,171,,91.18
2.0,,0.0,,91.17,182.28474620243952,2,5.73,2,,,14.32,5581,1680687904.0,,0,0.0,2656.0,2656.0,2.0,,109,5504,182.28474620243952,172,,91.07
2.0,,0.0,,91.14,182.16799898222888,2,5.26,2,,,13.14,5798,1680687905.0,,0,0.0,2752.0,2752.0,2.0,,110,5760,182.16799898222888,173,,91.14
2.0,,0.0,,91.11,182.14427505227346,2,4.78,2,,,11.96,6014,1680687906.0,,0,0.0,2880.0,2880.0,2.0,,111,5952,182.14427505227346,174,,91.06
2.0,,0.0,,91.1,182.0764293206857,2,4.31,2,,,10.77,6230,1680687908.0,,0,0.0,2976.0,2976.0,2.0,,112,6208,182.0764293206857,176,,91.05
