_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
129,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,40671,,120.82,77,1681407165.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
130,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,42478,,120.82,78,1681407166.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
131,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,44288,,120.82,79,1681407167.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
132,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,46095,,120.82,80,1681407168.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
133,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,47914,,120.82,81,1681407169.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
134,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,49713,,120.82,82,1681407170.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
135,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,51527,,120.82,83,1681407171.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
136,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,53329,,120.82,84,1681407172.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
137,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,55137,,120.82,85,1681407173.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
138,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,56932,,120.82,86,1681407174.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
