_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681401983.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,156502,161,0.0,,244.58,32672,0.5,84,0.0,,1485.05,10144.0,22528.0
1681401984.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,158554,162,0.0,,244.58,32672,0.5,85,0.0,,1485.05,10144.0,22528.0
1681401986.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,160607,164,0.0,,244.58,32672,0.5,86,0.0,,1485.05,10144.0,22528.0
1681401987.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,162663,165,0.0,,244.58,32672,0.5,87,0.0,,1485.05,10144.0,22528.0
1681401988.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,164719,166,0.0,,244.58,32672,0.5,88,0.0,,1485.05,10144.0,22528.0
1681401989.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,166771,167,0.0,,244.58,32672,0.5,89,0.0,,1485.05,10144.0,22528.0
1681401990.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,168821,168,0.0,,244.58,32672,0.5,90,0.0,,1485.05,10144.0,22528.0
1681401991.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,170872,169,0.0,,244.58,32672,0.5,91,0.0,,1485.05,10144.0,22528.0
1681401993.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,172923,171,0.0,,244.58,32672,0.5,92,0.0,,1485.05,10144.0,22528.0
1681401994.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,174979,172,0.0,,244.58,32672,0.5,93,0.0,,1485.05,10144.0,22528.0
