03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
2,3.0,937.1474091923542,150,0.0,3.0,3,,433.38,0,0.5,,,,33660,0,,0.0,503.76,0.0,94,,0.0,,937.1474091923542,1680688994.0,0.0
2,3.0,937.1474091923542,151,0.0,3.0,3,,433.38,0,0.5,,,,34619,0,,0.0,503.76,0.0,95,,0.0,,937.1474091923542,1680688995.0,0.0
2,3.0,937.1474091923542,152,0.0,3.0,3,,433.38,0,0.5,,,,35573,0,,0.0,503.76,0.0,96,,0.0,,937.1474091923542,1680688996.0,0.0
2,3.0,937.1474091923542,153,0.0,3.0,3,,433.38,0,0.5,,,,36527,0,,0.0,503.76,0.0,97,,0.0,,937.1474091923542,1680688997.0,0.0
2,3.0,937.1474091923542,154,0.0,3.0,3,,433.38,0,0.5,,,,37481,0,,0.0,503.76,0.0,98,,0.0,,937.1474091923542,1680688998.0,0.0
2,3.0,937.1474091923542,155,0.0,3.0,3,,433.38,0,0.5,,,,38431,0,,0.0,503.76,0.0,99,,0.0,,937.1474091923542,1680688999.0,0.0
2,3.0,937.1474091923542,156,0.0,3.0,3,,433.38,0,0.5,,,,39388,0,,0.0,503.76,0.0,100,,0.0,,937.1474091923542,1680689000.0,0.0
2,3.0,937.1474091923542,157,0.0,3.0,3,,433.38,0,0.5,,,,40343,0,,0.0,503.76,0.0,101,,0.0,,937.1474091923542,1680689001.0,0.0
2,3.0,937.1474091923542,158,0.0,3.0,3,,433.38,0,0.5,,,,41301,0,,0.0,503.76,0.0,102,,0.0,,937.1474091923542,1680689002.0,0.0
2,3.0,937.1474091923542,159,0.0,3.0,3,,433.38,0,0.5,,,,42259,0,,0.0,503.76,0.0,103,,0.0,,937.1474091923542,1680689003.0,0.0
